method,class_name,target_area_quartile,iou,dice
grabcut_point_box,tvmonitor,Q1,0.827458,0.8713845384615385
grabcut_point_box,tvmonitor,Q2,0.7760473333333334,0.8592260833333333
grabcut_point_box,tvmonitor,Q3,0.8261101,0.8955512999999999
grabcut_point_box,tvmonitor,Q4,0.7915206666666667,0.8725426666666666
robust_no_color_seed,aeroplane,Q1,0.31391106896551724,0.4346664827586207
robust_no_color_seed,aeroplane,Q2,0.52762625,0.6762908611111111
robust_no_color_seed,aeroplane,Q3,0.5794397647058824,0.7204741764705882
robust_no_color_seed,aeroplane,Q4,0.5061880000000001,0.6684137142857143
robust_no_color_seed,bicycle,Q1,0.12178884999999999,0.20132995
robust_no_color_seed,bicycle,Q2,0.2462439375,0.38960225
robust_no_color_seed,bicycle,Q3,0.22255,0.364075
robust_no_color_seed,bicycle,Q4,0.379725,0.550435
robust_no_color_seed,bird,Q1,0.3499577872340425,0.459854085106383
robust_no_color_seed,bird,Q2,0.6284288846153847,0.7635964230769231
robust_no_color_seed,bird,Q3,0.6252205333333334,0.7549026666666666
robust_no_color_seed,bird,Q4,0.518001,0.6369507142857144
robust_no_color_seed,boat,Q1,0.23486971052631578,0.34335013157894734
robust_no_color_seed,boat,Q2,0.4790325384615385,0.6253439230769231
robust_no_color_seed,boat,Q3,0.5297005833333334,0.675836
robust_no_color_seed,boat,Q4,0.50738825,0.66383375
robust_no_color_seed,bottle,Q1,0.2556069090909091,0.3685893636363637
robust_no_color_seed,bottle,Q2,0.32986642857142856,0.4647447142857143
robust_no_color_seed,bottle,Q3,0.416133625,0.562580375
robust_no_color_seed,bottle,Q4,0.5493307272727272,0.6953805454545455
robust_no_color_seed,bus,Q1,0.19930514285714285,0.28801457142857145
robust_no_color_seed,bus,Q2,0.4017195,0.551319125
robust_no_color_seed,bus,Q3,0.5703709333333333,0.7167224666666667
robust_no_color_seed,bus,Q4,0.46533681081081085,0.6039128918918919
robust_no_color_seed,car,Q1,0.10734555555555556,0.16857305555555555
robust_no_color_seed,car,Q2,0.40441738461538457,0.546336923076923
robust_no_color_seed,car,Q3,0.45681169230769236,0.6049035384615384
robust_no_color_seed,car,Q4,0.536771,0.6793226451612903
robust_no_color_seed,cat,Q1,0.5460021428571429,0.6986095714285714
robust_no_color_seed,cat,Q2,0.535636,0.6873242727272727
robust_no_color_seed,cat,Q3,0.57804475,0.7196279750000001
robust_no_color_seed,cat,Q4,0.6351594,0.7640829499999999
robust_no_color_seed,chair,Q1,0.23720744444444442,0.34519299999999997
robust_no_color_seed,chair,Q2,0.44855272727272727,0.6082688181818182
robust_no_color_seed,chair,Q3,0.5005685555555556,0.6399462222222222
robust_no_color_seed,chair,Q4,0.5387339999999999,0.6695083333333334
robust_no_color_seed,cow,Q1,0.2768931333333333,0.3949178
robust_no_color_seed,cow,Q2,0.5478169374999999,0.6956783125
robust_no_color_seed,cow,Q3,0.5505193684210526,0.6991785789473685
robust_no_color_seed,cow,Q4,0.5115565882352942,0.6465401764705883
robust_no_color_seed,diningtable,Q1,0.255021,0.3831165
robust_no_color_seed,diningtable,Q2,0.417917875,0.53416675
robust_no_color_seed,diningtable,Q3,0.493142,0.6284562
robust_no_color_seed,diningtable,Q4,0.4502695294117647,0.5882137058823529
robust_no_color_seed,dog,Q1,0.3749180833333334,0.5013579166666666
robust_no_color_seed,dog,Q2,0.5219902307692308,0.6686652307692308
robust_no_color_seed,dog,Q3,0.5955946071428572,0.7317958928571429
robust_no_color_seed,dog,Q4,0.6045945714285714,0.7384957428571428
robust_no_color_seed,horse,Q1,0.33756674999999997,0.45664866666666665
robust_no_color_seed,horse,Q2,0.5584769047619047,0.7105319047619048
robust_no_color_seed,horse,Q3,0.550899,0.703358923076923
robust_no_color_seed,horse,Q4,0.59592175,0.7400483125
robust_no_color_seed,motorbike,Q1,0.23280122222222221,0.34050844444444445
robust_no_color_seed,motorbike,Q2,0.5214319130434782,0.6778355652173913
